Treatment,Sc,Hm,Bb,Total,Alive
1,100,0,0,100,6
2,100,0,0,100,9
3,100,0,0,100,10
4,400,0,0,400,7
5,400,0,0,400,7
6,400,0,0,400,7
7,1000,0,0,1000,6
8,1000,0,0,1000,6
9,1000,0,0,1000,7
10,4000,0,0,4000,3
11,4000,0,0,4000,5
12,4000,0,0,4000,2
13,10000,0,0,10000,3
14,10000,0,0,10000,2
15,10000,0,0,10000,3
16,0,100,0,100,8
17,0,100,0,100,5
18,0,100,0,100,10
19,0,400,0,400,8
20,0,400,0,400,9
21,0,400,0,400,8
22,0,1000,0,1000,4
23,0,1000,0,1000,10
24,0,1000,0,1000,10
25,0,4000,0,4000,4
26,0,4000,0,4000,3
27,0,4000,0,4000,6
28,0,10000,0,10000,3
29,0,10000,0,10000,4
30,0,10000,0,10000,4
31,0,0,100,100,8
32,0,0,100,100,8
33,0,0,100,100,10
34,0,0,400,400,4
35,0,0,400,400,10
36,0,0,400,400,9
37,0,0,1000,1000,5
38,0,0,1000,1000,5
39,0,0,1000,1000,8
40,0,0,4000,4000,3
41,0,0,4000,4000,2
42,0,0,4000,4000,7
43,0,0,10000,10000,5
44,0,0,10000,10000,3
45,0,0,10000,10000,4
46,5,5,90,100,7
47,5,5,90,100,8
48,5,5,90,100,9
49,5,90,5,100,7
50,5,90,5,100,7
51,5,90,5,100,10
52,90,5,5,100,7
53,90,5,5,100,8
54,90,5,5,100,8
55,20,20,360,400,5
56,20,20,360,400,6
57,20,20,360,400,8
58,20,360,20,400,6
59,20,360,20,400,6
60,20,360,20,400,10
61,360,20,20,400,7
62,360,20,20,400,8
63,360,20,20,400,9
64,50,50,900,1000,5
65,50,50,900,1000,8
66,50,50,900,1000,9
67,50,900,50,1000,5
68,50,900,50,1000,5
69,50,900,50,1000,10
70,900,50,50,1000,2
71,900,50,50,1000,3
72,900,50,50,1000,6
73,200,200,3600,4000,4
74,200,200,3600,4000,5
75,200,200,3600,4000,6
76,200,3600,200,4000,1
77,200,3600,200,4000,1
78,200,3600,200,4000,6
79,3600,200,200,4000,2
80,3600,200,200,4000,3
81,3600,200,200,4000,5
82,500,500,9000,10000,2
83,500,500,9000,10000,3
84,500,500,9000,10000,4
85,500,9000,500,10000,0
86,500,9000,500,10000,3
87,500,9000,500,10000,4
88,9000,500,500,10000,0
89,9000,500,500,10000,2
90,9000,500,500,10000,9
91,20,20,60,100,7
92,20,20,60,100,4
93,20,20,60,100,10
94,20,60,20,100,5
95,20,60,20,100,8
96,20,60,20,100,8
97,60,20,20,100,6
98,60,20,20,100,5
99,60,20,20,100,2
100,80,80,240,400,5
101,80,80,240,400,6
102,80,80,240,400,7
103,80,240,80,400,6
104,80,240,80,400,6
105,80,240,80,400,6
106,240,80,80,400,7
107,240,80,80,400,8
108,240,80,80,400,9
109,200,200,600,1000,6
110,200,200,600,1000,8
111,200,200,600,1000,9
112,200,600,200,1000,7
113,200,600,200,1000,2
114,200,600,200,1000,5
115,600,200,200,1000,5
116,600,200,200,1000,10
117,600,200,200,1000,8
118,800,800,2400,4000,2
119,800,800,2400,4000,4
120,800,800,2400,4000,7
121,800,2400,800,4000,2
122,800,2400,800,4000,5
123,800,2400,800,4000,1
124,2400,800,800,4000,4
125,2400,800,800,4000,2
126,2400,800,800,4000,4
127,2000,2000,6000,10000,2
128,2000,2000,6000,10000,0
129,2000,2000,6000,10000,2
130,2000,6000,2000,10000,1
131,2000,6000,2000,10000,0
132,2000,6000,2000,10000,0
133,6000,2000,2000,10000,1
134,6000,2000,2000,10000,3
135,6000,2000,2000,10000,1
136,33,33,33,100,6
137,33,33,33,100,9
138,33,33,33,100,7
139,33,33,33,100,4
140,33,33,33,100,7
141,33,33,33,100,4
142,133,133,133,400,8
143,133,133,133,400,9
144,133,133,133,400,7
145,133,133,133,400,7
146,133,133,133,400,5
147,133,133,133,400,5
148,333,333,333,1000,5
149,333,333,333,1000,5
150,333,333,333,1000,0
151,333,333,333,1000,4
152,333,333,333,1000,4
153,333,333,333,1000,5
154,1333,1333,1333,4000,2
155,1333,1333,1333,4000,6
156,1333,1333,1333,4000,0
157,1333,1333,1333,4000,0
158,1333,1333,1333,4000,5
159,1333,1333,1333,4000,2
160,3333,3333,3333,10000,1
161,3333,3333,3333,10000,3
162,3333,3333,3333,10000,0
163,3333,3333,3333,10000,0
164,3333,3333,3333,10000,0
165,3333,3333,3333,10000,0
166,0,0,0,0,10
167,0,0,0,0,9
168,0,0,0,0,9
169,0,0,0,0,8
170,0,0,0,0,7
