Treatment,Sc,Hm,Bb,Total,Alive
1,100,0,0,100,10
2,100,0,0,100,8
3,400,0,0,400,10
4,400,0,0,400,10
5,1000,0,0,1000,7
6,1000,0,0,1000,3
7,4000,0,0,4000,9
8,4000,0,0,4000,2
9,10000,0,0,10000,5
10,10000,0,0,10000,5
11,0,100,0,100,9
12,0,100,0,100,10
13,0,400,0,400,9
14,0,400,0,400,8
15,0,1000,0,1000,10
16,0,1000,0,1000,10
17,0,4000,0,4000,4
18,0,4000,0,4000,6
19,0,10000,0,10000,4
20,0,10000,0,10000,4
21,0,0,100,100,8
22,0,0,100,100,10
23,0,0,400,400,10
24,0,0,400,400,9
25,0,0,1000,1000,7
26,0,0,1000,1000,8
27,0,0,4000,4000,6
28,0,0,4000,4000,7
29,0,0,10000,10000,6
30,0,0,10000,10000,4
31,5,5,90,100,8
32,5,5,90,100,9
33,5,90,5,100,10
34,5,90,5,100,10
35,90,5,5,100,8
36,90,5,5,100,7
37,20,20,360,400,10
38,20,20,360,400,7
39,20,360,20,400,5
40,20,360,20,400,10
41,360,20,20,400,9
42,360,20,20,400,8
43,50,50,900,1000,5
44,50,50,900,1000,9
45,50,900,50,1000,10
46,50,900,50,1000,5
47,900,50,50,1000,3
48,900,50,50,1000,6
49,200,200,3600,4000,5
50,200,200,3600,4000,9
51,200,3600,200,4000,1
52,200,3600,200,4000,2
53,3600,200,200,4000,5
54,3600,200,200,4000,2
55,500,500,9000,10000,2
56,500,500,9000,10000,4
57,500,9000,500,10000,4
58,500,9000,500,10000,1
59,9000,500,500,10000,9
60,9000,500,500,10000,5
61,20,20,60,100,10
62,20,20,60,100,10
63,20,60,20,100,8
64,20,60,20,100,8
65,60,20,20,100,9
66,60,20,20,100,9
67,80,80,240,400,6
68,80,80,240,400,7
69,80,240,80,400,7
70,80,240,80,400,6
71,240,80,80,400,10
72,240,80,80,400,9
73,200,200,600,1000,8
74,200,200,600,1000,9
75,200,600,200,1000,7
76,200,600,200,1000,5
77,600,200,200,1000,10
78,600,200,200,1000,8
79,800,800,2400,4000,6
80,800,800,2400,4000,7
81,800,2400,800,4000,1
82,800,2400,800,4000,5
83,2400,800,800,4000,9
84,2400,800,800,4000,5
85,2000,2000,6000,10000,2
86,2000,2000,6000,10000,4
87,2000,6000,2000,10000,0
88,2000,6000,2000,10000,1
89,6000,2000,2000,10000,3
90,6000,2000,2000,10000,1
91,33,33,33,99,9
92,33,33,33,99,6
93,33,33,33,99,9
94,33,33,33,99,10
95,133,133,133,399,10
96,133,133,133,399,8
97,133,133,133,399,9
98,133,133,133,399,7
99,333,333,333,999,4
100,333,333,333,999,5
101,333,333,333,999,6
102,333,333,333,999,5
103,1333,1333,1333,3999,0
104,1333,1333,1333,3999,2
105,1333,1333,1333,3999,2
106,1333,1333,1333,3999,6
107,3333,3333,3333,9999,1
108,3333,3333,3333,9999,1
109,3333,3333,3333,9999,1
110,3333,3333,3333,9999,3
111,0,0,0,0,10
112,0,0,0,0,9
113,0,0,0,0,9
114,0,0,0,0,10
115,0,0,0,0,8
